id,uuid,name,created_date,ip,hostname,identifier,honeypot
43,1534049e-dac7-11e8-87a4-aaf530930853,li-usda-u16-cow,2018-10-28 15:35:22.408603,198.58.96.89,localhost,,cowrie
44,3ef2ae52-dac7-11e8-87a4-aaf530930853,li-usfr-u16-con,2018-10-28 15:36:32.450452,45.79.96.188,localhost,,conpot
45,4ec86dbc-dac7-11e8-87a4-aaf530930853,li-usne-u16-con,2018-10-28 15:36:59.014535,45.33.94.10,localhost,,conpot
46,a7cf2f9a-dac7-11e8-87a4-aaf530930853,li-usat-u16-con,2018-10-28 15:39:28.372122,198.74.53.211,localhost,,conpot
47,a9bf05dc-dac7-11e8-87a4-aaf530930853,li-usne-u16-cow,2018-10-28 15:39:31.631596,45.33.94.10,localhost,,cowrie
48,ab3a0362-dac7-11e8-87a4-aaf530930853,li-usfr-u16-cow,2018-10-28 15:39:34.108152,45.79.96.188,localhost,,cowrie
49,0d8db126-dac8-11e8-87a4-aaf530930853,li-usat-u16-cow,2018-10-28 15:42:19.074970,198.74.53.211,localhost,,cowrie
50,6822291e-dac8-11e8-87a4-aaf530930853,li-ukln-u16-con,2018-10-28 15:44:51.040034,178.79.149.118,localhost,,conpot
51,80892c1e-dac8-11e8-87a4-aaf530930853,li-defr-u16-con,2018-10-28 15:45:31.979249,139.162.144.60,localhost,,conpot
52,9dc8875c-dac8-11e8-87a4-aaf530930853,li-ukln-u16-cow,2018-10-28 15:46:21.049592,178.79.149.118,localhost,,cowrie
53,9e382d14-dac8-11e8-87a4-aaf530930853,li-sgsg-u16-con,2018-10-28 15:46:21.781379,139.162.60.174,localhost,,conpot
54,b019e0ae-dac8-11e8-87a4-aaf530930853,li-defr-u16-cow,2018-10-28 15:46:51.786070,139.162.144.60,localhost,,cowrie
55,b6f9b1b0-dac8-11e8-87a4-aaf530930853,li-jptk-u16-con,2018-10-28 15:47:03.314713,139.162.89.243,localhost,,conpot
56,e561f9c2-dac8-11e8-87a4-aaf530930853,li-sgsg-u16-cow,2018-10-28 15:48:21.177312,139.162.60.174,localhost,,cowrie
57,f5428780-dac8-11e8-87a4-aaf530930853,li-jptk-u16-cow,2018-10-28 15:48:47.811621,139.162.89.243,localhost,,cowrie
